MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20171003,AL,94.10,5.90,0.00,0.00,0.00,0.00,2017-10-03,2017-10-09,1
20170926,AL,100.00,0.00,0.00,0.00,0.00,0.00,2017-09-26,2017-10-02,1
20170919,AL,100.00,0.00,0.00,0.00,0.00,0.00,2017-09-19,2017-09-25,1
20170912,AL,100.00,0.00,0.00,0.00,0.00,0.00,2017-09-12,2017-09-18,1
20170905,AL,99.86,0.14,0.00,0.00,0.00,0.00,2017-09-05,2017-09-11,1
20170829,AL,99.95,0.05,0.00,0.00,0.00,0.00,2017-08-29,2017-09-04,1
20170822,AL,100.00,0.00,0.00,0.00,0.00,0.00,2017-08-22,2017-08-28,1
20170815,AL,100.00,0.00,0.00,0.00,0.00,0.00,2017-08-15,2017-08-21,1
20170808,AL,100.00,0.00,0.00,0.00,0.00,0.00,2017-08-08,2017-08-14,1
20170801,AL,100.00,0.00,0.00,0.00,0.00,0.00,2017-08-01,2017-08-07,1
20170725,AL,99.95,0.05,0.00,0.00,0.00,0.00,2017-07-25,2017-07-31,1
20170718,AL,99.95,0.05,0.00,0.00,0.00,0.00,2017-07-18,2017-07-24,1
20170711,AL,99.95,0.05,0.00,0.00,0.00,0.00,2017-07-11,2017-07-17,1
20170704,AL,99.22,0.78,0.00,0.00,0.00,0.00,2017-07-04,2017-07-10,1
20170627,AL,98.47,1.53,0.00,0.00,0.00,0.00,2017-06-27,2017-07-03,1
20170620,AL,95.82,4.18,0.14,0.00,0.00,0.00,2017-06-20,2017-06-26,1
20170613,AL,94.34,5.66,0.73,0.00,0.00,0.00,2017-06-13,2017-06-19,1
20170606,AL,93.92,6.08,0.73,0.00,0.00,0.00,2017-06-06,2017-06-12,1
20170530,AL,88.42,11.58,0.33,0.00,0.00,0.00,2017-05-30,2017-06-05,1
20170523,AL,77.95,22.05,1.76,0.00,0.00,0.00,2017-05-23,2017-05-29,1
20170516,AL,40.56,59.44,28.95,1.19,0.00,0.00,2017-05-16,2017-05-22,1
20170509,AL,43.94,56.06,28.07,1.50,0.00,0.00,2017-05-09,2017-05-15,1
20170502,AL,23.19,76.81,32.04,1.50,0.00,0.00,2017-05-02,2017-05-08,1
20170425,AL,13.28,86.72,38.65,2.67,0.00,0.00,2017-04-25,2017-05-01,1
20170418,AL,6.84,93.16,42.71,2.67,0.00,0.00,2017-04-18,2017-04-24,1
20170411,AL,18.34,81.66,21.69,2.67,0.00,0.00,2017-04-11,2017-04-17,1
20170404,AL,18.34,81.66,26.17,4.87,0.00,0.00,2017-04-04,2017-04-10,1
20170328,AL,9.36,90.64,37.69,12.14,0.00,0.00,2017-03-28,2017-04-03,1
20170321,AL,29.05,70.95,41.08,21.89,1.65,0.00,2017-03-21,2017-03-27,1
20170314,AL,44.43,55.57,45.39,23.57,4.76,0.00,2017-03-14,2017-03-20,1
20170307,AL,36.62,63.38,53.64,26.87,5.21,0.00,2017-03-07,2017-03-13,1
20170228,AL,36.62,63.38,53.64,31.97,5.21,0.00,2017-02-28,2017-03-06,1
20170221,AL,30.37,69.63,58.67,35.28,5.21,0.00,2017-02-21,2017-02-27,1
20170214,AL,32.23,67.77,49.55,27.82,0.00,0.00,2017-02-14,2017-02-20,1
20170207,AL,32.16,67.84,48.59,23.88,2.33,0.00,2017-02-07,2017-02-13,1
20170131,AL,32.16,67.84,48.59,23.88,2.33,0.00,2017-01-31,2017-02-06,1
20170124,AL,32.16,67.84,48.59,23.88,2.33,0.00,2017-01-24,2017-01-30,1
20170117,AL,27.20,72.80,65.72,48.53,23.32,0.00,2017-01-17,2017-01-23,1
20170110,AL,27.20,72.80,65.72,48.53,23.32,0.00,2017-01-10,2017-01-16,1
20170103,AL,22.96,77.04,68.13,48.58,23.32,0.00,2017-01-03,2017-01-09,1
20161227,AL,1.17,98.83,96.10,86.07,51.77,19.18,2016-12-27,2017-01-02,1
20171226,AR,8.68,91.32,64.50,11.76,2.37,0.00,2017-12-26,2018-01-01,1
20171219,AR,0.00,100.00,97.45,86.65,25.31,0.00,2017-12-19,2017-12-25,1
20171212,AR,0.00,100.00,97.45,86.65,42.40,0.00,2017-12-12,2017-12-18,1
20171205,AR,1.39,98.61,92.09,72.00,26.13,0.00,2017-12-05,2017-12-11,1
20171128,AR,1.39,98.61,85.20,61.27,14.66,0.00,2017-11-28,2017-12-04,1
20171121,AR,2.99,97.01,83.12,56.64,0.00,0.00,2017-11-21,2017-11-27,1
20171114,AR,4.96,95.04,73.72,46.42,0.00,0.00,2017-11-14,2017-11-20,1
20171107,AR,19.81,80.19,62.51,28.13,0.00,0.00,2017-11-07,2017-11-13,1
20171031,AR,19.23,80.77,62.17,0.00,0.00,0.00,2017-10-31,2017-11-06,1
20171024,AR,19.23,80.77,61.51,0.00,0.00,0.00,2017-10-24,2017-10-30,1
20171017,AR,20.60,79.40,56.80,0.00,0.00,0.00,2017-10-17,2017-10-23,1
20171010,AR,32.06,67.94,29.75,0.00,0.00,0.00,2017-10-10,2017-10-16,1
20171003,AR,32.06,67.94,29.13,0.00,0.00,0.00,2017-10-03,2017-10-09,1
20170926,AR,39.57,60.43,0.46,0.00,0.00,0.00,2017-09-26,2017-10-02,1
20170919,AR,52.66,47.34,0.00,0.00,0.00,0.00,2017-09-19,2017-09-25,1
20170912,AR,94.76,5.24,0.00,0.00,0.00,0.00,2017-09-12,2017-09-18,1
20170905,AR,100.00,0.00,0.00,0.00,0.00,0.00,2017-09-05,2017-09-11,1
20170829,AR,100.00,0.00,0.00,0.00,0.00,0.00,2017-08-29,2017-09-04,1
20170822,AR,100.00,0.00,0.00,0.00,0.00,0.00,2017-08-22,2017-08-28,1
20170815,AR,100.00,0.00,0.00,0.00,0.00,0.00,2017-08-15,2017-08-21,1
20170808,AR,99.71,0.29,0.00,0.00,0.00,0.00,2017-08-08,2017-08-14,1
20170801,AR,99.69,0.31,0.00,0.00,0.00,0.00,2017-08-01,2017-08-07,1
20170725,AR,100.00,0.00,0.00,0.00,0.00,0.00,2017-07-25,2017-07-31,1
20170718,AR,100.00,0.00,0.00,0.00,0.00,0.00,2017-07-18,2017-07-24,1
20170711,AR,100.00,0.00,0.00,0.00,0.00,0.00,2017-07-11,2017-07-17,1
20170704,AR,98.95,1.05,0.00,0.00,0.00,0.00,2017-07-04,2017-07-10,1
20170627,AR,98.86,1.14,0.00,0.00,0.00,0.00,2017-06-27,2017-07-03,1
20170620,AR,99.58,0.42,0.00,0.00,0.00,0.00,2017-06-20,2017-06-26,1
20170613,AR,99.43,0.57,0.00,0.00,0.00,0.00,2017-06-13,2017-06-19,1
20170606,AR,100.00,0.00,0.00,0.00,0.00,0.00,2017-06-06,2017-06-12,1
20170530,AR,99.14,0.86,0.00,0.00,0.00,0.00,2017-05-30,2017-06-05,1
20170523,AR,99.14,0.86,0.00,0.00,0.00,0.00,2017-05-23,2017-05-29,1
20170516,AR,96.72,3.28,0.36,0.00,0.00,0.00,2017-05-16,2017-05-22,1
20170509,AR,94.75,5.25,1.11,0.00,0.00,0.00,2017-05-09,2017-05-15,1
20170502,AR,94.76,5.24,1.11,0.00,0.00,0.00,2017-05-02,2017-05-08,1
20170425,AR,55.51,44.49,7.78,0.00,0.00,0.00,2017-04-25,2017-05-01,1
20170418,AR,44.98,55.02,22.47,4.14,0.00,0.00,2017-04-18,2017-04-24,1
20170411,AR,44.98,55.02,22.47,4.14,0.00,0.00,2017-04-11,2017-04-17,1
20170404,AR,45.98,54.02,18.90,2.07,0.00,0.00,2017-04-04,2017-04-10,1
20170328,AR,44.88,55.12,18.87,2.00,0.00,0.00,2017-03-28,2017-04-03,1
20170321,AR,14.19,85.81,40.08,18.34,2.00,0.00,2017-03-21,2017-03-27,1
20170314,AR,23.00,77.00,39.95,18.29,2.00,0.00,2017-03-14,2017-03-20,1
20170307,AR,21.71,78.29,41.37,18.35,2.00,0.00,2017-03-07,2017-03-13,1
20170228,AR,23.31,76.69,34.06,18.29,2.00,0.00,2017-02-28,2017-03-06,1
20170221,AR,26.39,73.61,33.46,14.80,2.00,0.00,2017-02-21,2017-02-27,1
20170214,AR,44.43,55.57,32.66,14.80,2.02,0.00,2017-02-14,2017-02-20,1
20170207,AR,44.43,55.57,32.28,14.80,2.02,0.00,2017-02-07,2017-02-13,1
20170131,AR,49.31,50.69,30.46,12.50,2.02,0.00,2017-01-31,2017-02-06,1
20170124,AR,49.31,50.69,30.46,12.50,2.02,0.00,2017-01-24,2017-01-30,1
20170117,AR,27.05,72.95,42.18,6.69,2.02,0.00,2017-01-17,2017-01-23,1
20170110,AR,27.05,72.95,43.71,9.07,2.02,0.00,2017-01-10,2017-01-16,1
20170103,AR,27.05,72.95,39.03,7.99,2.02,0.00,2017-01-03,2017-01-09,1
20161227,AR,23.75,76.25,40.46,7.21,0.00,0.00,2016-12-27,2017-01-02,1
20171226,AZ,0.00,100.00,100.00,3.96,0.00,0.00,2017-12-26,2018-01-01,1
20171219,AZ,0.00,100.00,100.00,3.96,0.00,0.00,2017-12-19,2017-12-25,1
20171212,AZ,0.00,100.00,97.28,2.05,0.00,0.00,2017-12-12,2017-12-18,1
20171205,AZ,0.00,100.00,97.28,2.05,0.00,0.00,2017-12-05,2017-12-11,1
20171128,AZ,0.00,100.00,73.10,2.05,0.00,0.00,2017-11-28,2017-12-04,1
20171121,AZ,8.61,91.39,44.65,2.05,0.00,0.00,2017-11-21,2017-11-27,1
20171114,AZ,8.61,91.39,44.26,2.05,0.00,0.00,2017-11-14,2017-11-20,1
20171107,AZ,9.34,90.66,44.26,2.05,0.00,0.00,2017-11-07,2017-11-13,1
20171031,AZ,20.98,79.02,41.27,2.05,0.00,0.00,2017-10-31,2017-11-06,1
20171024,AZ,28.63,71.37,25.90,0.00,0.00,0.00,2017-10-24,2017-10-30,1
20171017,AZ,37.91,62.09,10.69,0.00,0.00,0.00,2017-10-17,2017-10-23,1
20171010,AZ,38.00,62.00,10.69,0.00,0.00,0.00,2017-10-10,2017-10-16,1
20171003,AZ,37.51,62.49,10.69,0.00,0.00,0.00,2017-10-03,2017-10-09,1
20170926,AZ,45.38,54.62,10.69,0.00,0.00,0.00,2017-09-26,2017-10-02,1
20170919,AZ,75.16,24.84,10.69,0.00,0.00,0.00,2017-09-19,2017-09-25,1
20170912,AZ,75.16,24.84,10.69,0.00,0.00,0.00,2017-09-12,2017-09-18,1
20170905,AZ,75.16,24.84,10.69,0.00,0.00,0.00,2017-09-05,2017-09-11,1
20170829,AZ,75.16,24.84,10.69,0.00,0.00,0.00,2017-08-29,2017-09-04,1
20170822,AZ,75.16,24.84,10.69,0.00,0.00,0.00,2017-08-22,2017-08-28,1
20170815,AZ,67.12,32.88,10.69,0.00,0.00,0.00,2017-08-15,2017-08-21,1
20170808,AZ,67.11,32.89,10.69,0.23,0.00,0.00,2017-08-08,2017-08-14,1
20170801,AZ,60.92,39.08,10.69,0.23,0.00,0.00,2017-08-01,2017-08-07,1
20170725,AZ,34.20,65.80,15.75,0.23,0.00,0.00,2017-07-25,2017-07-31,1
20170718,AZ,21.88,78.12,29.87,0.23,0.00,0.00,2017-07-18,2017-07-24,1
20170711,AZ,35.55,64.45,29.87,0.23,0.00,0.00,2017-07-11,2017-07-17,1
20170704,AZ,35.55,64.45,27.83,0.23,0.00,0.00,2017-07-04,2017-07-10,1
20170627,AZ,48.93,51.07,27.83,0.23,0.00,0.00,2017-06-27,2017-07-03,1
20170620,AZ,48.93,51.07,27.83,0.23,0.00,0.00,2017-06-20,2017-06-26,1
20170613,AZ,52.14,47.86,27.83,0.23,0.00,0.00,2017-06-13,2017-06-19,1
20170606,AZ,52.14,47.86,27.83,0.23,0.00,0.00,2017-06-06,2017-06-12,1
20170530,AZ,52.14,47.86,27.83,0.23,0.00,0.00,2017-05-30,2017-06-05,1
20170523,AZ,52.14,47.86,27.83,0.23,0.00,0.00,2017-05-23,2017-05-29,1
20170516,AZ,52.15,47.85,27.83,0.23,0.00,0.00,2017-05-16,2017-05-22,1
20170509,AZ,52.10,47.90,26.51,0.23,0.00,0.00,2017-05-09,2017-05-15,1
20170502,AZ,58.92,41.08,13.51,0.23,0.00,0.00,2017-05-02,2017-05-08,1
20170425,AZ,58.97,41.03,13.51,0.23,0.00,0.00,2017-04-25,2017-05-01,1
20170418,AZ,58.97,41.03,13.51,0.23,0.00,0.00,2017-04-18,2017-04-24,1
20170411,AZ,71.87,28.13,13.51,0.23,0.00,0.00,2017-04-11,2017-04-17,1
20170404,AZ,71.87,28.13,13.51,0.23,0.00,0.00,2017-04-04,2017-04-10,1
20170328,AZ,71.87,28.13,13.51,0.23,0.00,0.00,2017-03-28,2017-04-03,1
20170321,AZ,71.87,28.13,13.51,0.23,0.00,0.00,2017-03-21,2017-03-27,1
20170314,AZ,71.87,28.13,13.51,0.23,0.00,0.00,2017-03-14,2017-03-20,1
20170307,AZ,71.87,28.13,13.51,0.23,0.00,0.00,2017-03-07,2017-03-13,1
20170228,AZ,47.36,52.64,14.72,0.61,0.00,0.00,2017-02-28,2017-03-06,1
20170221,AZ,44.99,55.01,15.02,0.61,0.00,0.00,2017-02-21,2017-02-27,1
20170214,AZ,44.99,55.01,13.91,0.61,0.00,0.00,2017-02-14,2017-02-20,1
20170207,AZ,44.99,55.01,13.92,0.61,0.00,0.00,2017-02-07,2017-02-13,1
20170131,AZ,44.99,55.01,13.92,0.61,0.00,0.00,2017-01-31,2017-02-06,1
20170124,AZ,41.03,58.97,23.42,3.65,0.00,0.00,2017-01-24,2017-01-30,1
20170117,AZ,38.68,61.32,24.76,3.65,0.00,0.00,2017-01-17,2017-01-23,1
20170110,AZ,38.68,61.32,24.76,3.65,0.00,0.00,2017-01-10,2017-01-16,1
20170103,AZ,38.68,61.32,24.76,3.65,0.00,0.00,2017-01-03,2017-01-09,1
20161227,AZ,31.88,68.12,33.02,3.65,0.00,0.00,2016-12-27,2017-01-02,1
20171226,CA,55.70,44.30,12.69,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171219,CA,55.70,44.30,12.69,0.00,0.00,0.00,2017-12-19,2017-12-25,1
20171212,CA,55.70,44.30,9.90,0.00,0.00,0.00,2017-12-12,2017-12-18,1
20171205,CA,65.38,34.62,9.90,0.00,0.00,0.00,2017-12-05,2017-12-11,1
20171128,CA,69.09,30.91,8.24,0.00,0.00,0.00,2017-11-28,2017-12-04,1
20171121,CA,73.98,26.02,8.24,0.00,0.00,0.00,2017-11-21,2017-11-27,1
20171114,CA,73.98,26.02,8.24,0.00,0.00,0.00,2017-11-14,2017-11-20,1
20171107,CA,77.90,22.10,8.24,0.00,0.00,0.00,2017-11-07,2017-11-13,1
20171031,CA,77.90,22.10,8.24,0.00,0.00,0.00,2017-10-31,2017-11-06,1
20171024,CA,77.90,22.10,8.24,0.00,0.00,0.00,2017-10-24,2017-10-30,1
20171017,CA,77.88,22.12,8.24,0.00,0.00,0.00,2017-10-17,2017-10-23,1
20171010,CA,77.88,22.12,8.24,0.00,0.00,0.00,2017-10-10,2017-10-16,1
20171003,CA,77.88,22.12,8.24,0.00,0.00,0.00,2017-10-03,2017-10-09,1
20170926,CA,77.88,22.12,8.24,0.00,0.00,0.00,2017-09-26,2017-10-02,1
20170919,CA,77.88,22.12,8.24,0.04,0.00,0.00,2017-09-19,2017-09-25,1
20170912,CA,77.88,22.12,8.24,0.04,0.00,0.00,2017-09-12,2017-09-18,1
20170905,CA,77.88,22.12,8.24,0.04,0.00,0.00,2017-09-05,2017-09-11,1
20170829,CA,77.88,22.12,8.24,0.04,0.00,0.00,2017-08-29,2017-09-04,1
20170822,CA,77.88,22.12,8.24,0.04,0.00,0.00,2017-08-22,2017-08-28,1
20170815,CA,77.86,22.14,8.24,0.04,0.00,0.00,2017-08-15,2017-08-21,1
20170808,CA,77.86,22.14,8.24,1.06,0.00,0.00,2017-08-08,2017-08-14,1
20170801,CA,77.86,22.14,8.24,1.06,0.00,0.00,2017-08-01,2017-08-07,1
20170725,CA,75.73,24.27,8.24,1.06,0.00,0.00,2017-07-25,2017-07-31,1
20170718,CA,75.69,24.31,8.24,1.06,0.00,0.00,2017-07-18,2017-07-24,1
20170711,CA,76.46,23.54,8.24,1.06,0.00,0.00,2017-07-11,2017-07-17,1
20170704,CA,76.46,23.54,8.24,1.06,0.00,0.00,2017-07-04,2017-07-10,1
20170627,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-06-27,2017-07-03,1
20170620,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-06-20,2017-06-26,1
20170613,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-06-13,2017-06-19,1
20170606,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-06-06,2017-06-12,1
20170530,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-05-30,2017-06-05,1
20170523,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-05-23,2017-05-29,1
20170516,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-05-16,2017-05-22,1
20170509,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-05-09,2017-05-15,1
20170502,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-05-02,2017-05-08,1
20170425,CA,76.54,23.46,8.24,1.06,0.00,0.00,2017-04-25,2017-05-01,1
20170418,CA,76.54,23.46,8.24,1.06,0.00,0.00,2017-04-18,2017-04-24,1
20170411,CA,76.54,23.46,8.24,1.06,0.00,0.00,2017-04-11,2017-04-17,1
20170404,CA,76.54,23.46,8.24,1.06,0.00,0.00,2017-04-04,2017-04-10,1
20170328,CA,76.54,23.46,8.24,1.06,0.00,0.00,2017-03-28,2017-04-03,1
20170321,CA,76.54,23.46,8.24,1.06,0.00,0.00,2017-03-21,2017-03-27,1
20170314,CA,76.54,23.46,8.24,1.06,0.00,0.00,2017-03-14,2017-03-20,1
20170307,CA,76.54,23.46,8.24,1.10,0.00,0.00,2017-03-07,2017-03-13,1
20170228,CA,74.49,25.51,8.73,4.08,0.00,0.00,2017-02-28,2017-03-06,1
20170221,CA,61.66,38.34,16.87,4.19,0.00,0.00,2017-02-21,2017-02-27,1
20170214,CA,43.94,56.06,24.19,7.41,0.73,0.00,2017-02-14,2017-02-20,1
20170207,CA,41.46,58.54,46.99,10.93,0.73,0.00,2017-02-07,2017-02-13,1
20170131,CA,38.98,61.02,50.80,20.30,1.87,0.00,2017-01-31,2017-02-06,1
20170124,CA,38.73,61.27,51.40,26.46,2.16,0.00,2017-01-24,2017-01-30,1
20170117,CA,35.56,64.44,57.51,44.35,24.30,2.13,2017-01-17,2017-01-23,1
20170110,CA,34.62,65.38,58.22,49.22,27.80,2.13,2017-01-10,2017-01-16,1
20170103,CA,18.07,81.93,67.61,54.02,38.17,18.31,2017-01-03,2017-01-09,1
20161227,CA,17.47,82.53,68.87,57.79,40.60,18.31,2016-12-27,2017-01-02,1
20171226,CO,7.17,92.83,27.88,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171219,CO,7.17,92.83,27.13,0.00,0.00,0.00,2017-12-19,2017-12-25,1
20171212,CO,11.25,88.75,16.09,0.00,0.00,0.00,2017-12-12,2017-12-18,1
20171205,CO,66.96,33.04,15.99,0.00,0.00,0.00,2017-12-05,2017-12-11,1
20171128,CO,67.07,32.93,13.24,0.00,0.00,0.00,2017-11-28,2017-12-04,1
20171121,CO,71.23,28.77,9.82,0.00,0.00,0.00,2017-11-21,2017-11-27,1
20171114,CO,71.26,28.74,1.22,0.00,0.00,0.00,2017-11-14,2017-11-20,1
20171107,CO,71.26,28.74,1.22,0.00,0.00,0.00,2017-11-07,2017-11-13,1
20171031,CO,71.37,28.63,1.22,0.00,0.00,0.00,2017-10-31,2017-11-06,1
20171024,CO,71.57,28.43,1.12,0.00,0.00,0.00,2017-10-24,2017-10-30,1
20171017,CO,71.71,28.29,1.12,0.00,0.00,0.00,2017-10-17,2017-10-23,1
20171010,CO,78.81,21.19,1.12,0.00,0.00,0.00,2017-10-10,2017-10-16,1
20171003,CO,70.54,29.46,3.70,0.00,0.00,0.00,2017-10-03,2017-10-09,1
20170926,CO,67.63,32.37,3.72,0.00,0.00,0.00,2017-09-26,2017-10-02,1
20170919,CO,64.79,35.21,3.72,0.00,0.00,0.00,2017-09-19,2017-09-25,1
20170912,CO,64.81,35.19,3.72,0.00,0.00,0.00,2017-09-12,2017-09-18,1
20170905,CO,67.49,32.51,3.72,0.00,0.00,0.00,2017-09-05,2017-09-11,1
20170829,CO,81.29,18.71,0.00,0.00,0.00,0.00,2017-08-29,2017-09-04,1
20170822,CO,83.96,16.04,0.00,0.00,0.00,0.00,2017-08-22,2017-08-28,1
20170815,CO,85.18,14.82,0.00,0.00,0.00,0.00,2017-08-15,2017-08-21,1
20170808,CO,82.69,17.31,0.00,0.00,0.00,0.00,2017-08-08,2017-08-14,1
20170801,CO,79.02,20.98,0.00,0.00,0.00,0.00,2017-08-01,2017-08-07,1
20170725,CO,60.05,39.95,0.00,0.00,0.00,0.00,2017-07-25,2017-07-31,1
20170718,CO,64.47,35.53,0.00,0.00,0.00,0.00,2017-07-18,2017-07-24,1
20170711,CO,66.84,33.16,0.00,0.00,0.00,0.00,2017-07-11,2017-07-17,1
20170704,CO,85.58,14.42,0.00,0.00,0.00,0.00,2017-07-04,2017-07-10,1
20170627,CO,93.82,6.18,0.00,0.00,0.00,0.00,2017-06-27,2017-07-03,1
20170620,CO,94.11,5.89,0.00,0.00,0.00,0.00,2017-06-20,2017-06-26,1
20170613,CO,93.84,6.16,0.00,0.00,0.00,0.00,2017-06-13,2017-06-19,1
